item,patent_id,title,abstract,label,confidence,rationale,insufficient_info
11,US10860588B2,Method and computer device for determining an intent associated with a query for generating an intent-specific response,A user is associated with the current and preceding query that is associated with a preceding intent. The method comprises: receiving the current query and preceding intent; determining a respective intent-association parameter for each one of the plurality of potential intents based on the current query; determining a respective intent-transition parameter for each one of the plurality of potential intents; determining a respective adjusted intent-association parameter for each one of the plurality of potential intents as a multiplication of the respective intent-association parameter and the respective intent-transition parameter; and selecting one of the plurality of potential intents as the current intent based on the adjusted intent-association parameters.,,,,
12,US11382514B1,Relative activation scores for brain parcels,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for generating explainability data that explains a medical condition in a subject. In one aspect, a method comprises: obtaining data identifying a plurality of brain parcels that are predicted to be relevant to the medical condition; receiving fMRI data for a brain of a subject; processing the fMRI data for the brain of the subject to determine a respective activation score for each of the plurality of brain parcels that are predicted to be relevant to the medical condition; determining, for each of the plurality of brain parcels that are predicted to be relevant to the medical condition, a relative activation score for the brain parcel; and taking an action based on the relative activation scores.",,,,
13,US11113479B2,Utilizing a gated self-attention memory network model for predicting a candidate answer match to a query,"The present disclosure relates to systems, methods, and non-transitory computer-readable media that can determine an answer to a query based on matching probabilities for combinations of respective candidate answers. For example, the disclosed systems can utilize a gated-self attention mechanism (GSAM) to interpret inputs that include contextual information, a query, and candidate answers. The disclosed systems can also utilize a memory network in tandem with the GSAM to form a gated self-attention memory network (GSAMN) to refine outputs or predictions over multiple reasoning hops. Further, the disclosed systems can utilize transfer learning of the GSAM/GSAMN from an initial training dataset to a target training dataset.",,,,
14,US11010559B2,Multi-aspect sentiment analysis by collaborative attention allocation,"A computer-implemented method is presented for implementing multi-aspect sentiment analysis by collaborative attention allocation. The method includes extracting a sequence of word vectors from a sentence received from a data stream, feeding the sequence of word vectors to long short-term memory (LSTM) neural networks to generate a sequence of hidden states corresponding to the sequence of word vectors, generating a plurality of aspect embedding vectors for each aspect, employing an attention mechanism to determine attention weight vectors concurrently for all aspects, and outputting predicted sentiments for each aspect of the sentence to a user interface of a computing device.",,,,
15,US10181098B2,Generating representations of input sequences using neural networks,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating representations of input sequences. One of the methods includes obtaining an input sequence, the input sequence comprising a plurality of inputs arranged according to an input order; processing the input sequence using a first long short term memory (LSTM) neural network to convert the input sequence into an alternative representation for the input sequence; and processing the alternative representation for the input sequence using a second LSTM neural network to generate a target sequence for the input sequence, the target sequence comprising a plurality of outputs arranged according to an output order.",,,,
16,US11157698B2,"Method of training a descriptive text generating model, and method and apparatus for generating descriptive text","The present disclosure provides a method of training a descriptive text generating model, and a method and apparatus for generating a descriptive text, wherein the method of training a descriptive text generating model comprises: obtaining training data, the training data comprising: a notional word, a first descriptive text and a second descriptive text of the notional word, wherein the second descriptive text is a concise expression of the first descriptive text; regarding the notional word and the first descriptive text of the notional word as input of a seq2seq model, regarding the second descriptive text of the notional word as output of the seq2sequ model, and training the seq2seq model to obtain a descriptive text generating model. The descriptive text generating model according to the present disclosure can implement generation of a concise descriptive text with respect to the notional word in a deep understanding manner.",,,,
17,US11087166B2,"Training method of image-text matching model, bi-directional search method, and relevant apparatus","This application relates to the field of artificial intelligence technologies, and in particular, to a training method of an image-text matching model, a bi-directional search method, and a relevant apparatus. The training method includes extracting a global feature and a local feature of an image sample; extracting a global feature and a local feature of a text sample; training a matching model according to the extracted global feature and local feature of the image sample and the extracted global feature and local feature of the text sample, to determine model parameters of the matching model; and determining, by the matching model, according to a global feature and a local feature of an inputted image and a global feature and a local feature of an inputted text, a matching degree between the image and the text.",,,,
18,US11620838B2,Systems and methods for answering region specific questions,Systems and methods for answering region specific questions are provided. A method includes obtaining a regional scene question including an attribute query and a spatial region of interest for a training scene depicting a surrounding environment of a vehicle. The method includes obtaining a universal embedding for the training scene and an attribute embedding for the attribute query of the scene question. The universal embedding can identify sensory data corresponding to the training scene that can be used to answer questions concerning a number of different attributes in the training scene. The attribute embedding can identify aspects of an attribute that can be used to answer questions specific to the attribute. The method includes determining an answer embedding based on the universal embedding and the attribute embedding and determining a regional scene answer to the regional scene question based on the spatial region of interest and the answer embedding.,,,,
19,US10970291B2,Detecting topical similarities in knowledge databases,"Provided are systems, methods, and devices for providing topical similarities in a knowledge database. A knowledge database containing a number of articles is accessed, and clickstream data for the knowledge database is obtained including aggregated counts of user clicks on links within articles in the knowledge database. The clickstream data is sorted by source article, with each source article corresponding to a number of target articles that the source article links to. A directed article graph is constructed based on the sorted clickstream data. An input search term is received from an input device, and then an unbounded graph search is performed on the directed graph based on the input search term. Finally, a ranking heuristic for a predefined number of articles in the knowledge database is provided corresponding to topical similarity of the articles to the input search term.",,,,
20,US10242106B2,Enhance search assist system's freshness by extracting phrases from news articles,"In one embodiment, a portion of a search query may be obtained from a client device. A set of suggested search queries may be obtained or generated from a plurality of phrases stored in memory, where the portion of the search query matches a portion of each suggested search query in the set of suggested search queries. The set of suggested search queries may be provided to the client device. The plurality of phrases may include phrases extracted from documents published via a network.",,,,
21,US10210317B2,Multiple-point cognitive identity challenge system,"A mechanism is provided for verifying an identity of a user using dynamically generated questions based on transactions conducted by the user. Responsive to receiving a request to verify the identity of the user, one or more transaction based sources associated with the user are scanned for a set of transactions conducted by the user within a first predetermined time frame of a current time. A subset of transactions from the set of transactions are randomly selected as the basis for forming a set of questions to be used to verify the identity of the user. The set of questions are generated such that the user is required to identify one or more details about the subset of transactions in order to verify the user's identity. Responsive to the user correctly answering the one or more details about the subset of transactions, the user is authenticated.",,,,
22,US10381016B2,Methods and apparatus for altering audio output signals,"Methods, systems and computer readable media for altering an audio output are provided. In some embodiments, the system may change the original frequency content of an audio data file to a second frequency content so that a recorded audio track will sound as if a different person had recorded it when it is played back. In other embodiments, the system may receive an audio data file and a voice signature, and it may apply the voice signature to the audio data file to alter the audio output of the audio data file. In that instance, the audio data file may be a textual representation of a recorded audio data file.",,,,
23,US10380483B2,"Method and apparatus for training language model, and method and apparatus for recognizing language","A method and apparatus for training a language model, include generating a first training feature vector sequence and a second training feature vector sequence from training data. The method is configured to perform forward estimation of a neural network based on the first training feature vector sequence, and perform backward estimation of the neural network based on the second training feature vector sequence. The method is further configured to train a language model based on a result of the forward estimation and a result of the backward estimation.",,,,
24,US10824921B2,Position calibration for intelligent assistant computing device,"A first intelligent assistant computing device configured to receive and respond to natural language inputs provided by human users syncs to a reference clock of a wireless computer network. The first intelligent assistant computing device receives a communication sent by a second intelligent assistant computing device indicating a signal emission time at which the second intelligent assistant computing device emitted a position calibration signal. The first intelligent assistant computing device records a signal detection time at which the position calibration signal was detected. Based on a difference between 1) the signal emission time and the signal detection time, and 2) a known propagation speed of the position calibration signal, a distance between the first and second intelligent assistant computing devices is calculated.",,,,
25,US10713519B2,Automated workflows for identification of reading order from text segments using probabilistic language models,"The present invention is directed towards providing automated workflows for the identification of a reading order from text segments extracted from a document. Ordering the text segments is based on trained natural language models. In some embodiments, the workflows are enabled to perform a method for identifying a sequence associated with a portable document. The methods includes iteratively generating a probabilistic language model, receiving the portable document, and selectively extracting features (such as but not limited to text segments) from the document. The method may generate pairs of features (or feature pair from the extracted features). The method may further generate a score for each of the pairs based on the probabilistic language model and determine an order to features based on the scores. The method may provide the extracted features in the determined order.",,,,
26,US11373045B2,Determining context and intent in omnichannel communications using machine learning based artificial intelligence (AI) techniques,"A system for determining context and intent in a conversation using machine learning (ML) based artificial intelligence (AI) in omnichannel data communications is disclosed. The system may comprise a data store to store and manage data within a network, a server to facilitate operations using information from the one or more data stores, and a ML-based AI subsystem to communicate with the server and the data store in the network. The ML-based AI subsystem may comprise a data access interface to receive data associated with a conversation with a user via a communication channel. The ML-based AI subsystem may comprise a processor to provide a proactive, adaptive, and intelligent conversation by applying hierarchical multi-intent data labeling framework, training at least one model with training data, and generating and deploying a production-ready model based on the trained and retained at least one model.",,,,
27,US10846483B2,"Method, device, and apparatus for word vector processing based on clusters","A cluster includes a server cluster and a worker computer cluster. Each worker computer included in the worker computer cluster separately obtains a word and at least one context word of the word that are extracted from a corpus. The worker computer obtains word vectors for the word and the at least one context word. The worker computer calculates a gradient according to the word, the at least one context word, and the word vectors. The worker computer asynchronously updates the gradient to a server included in the server cluster. The server updates the word vectors for the word and the at least one context word of the word according to the gradient.",,,,
28,US10698945B2,Systems and methods to predict hashtags for content items,"Systems, methods, and non-transitory computer readable media configured to acquire data associated with a content item, the data associated with the content item including contextual information. The data associated with the content item can be provided to a model trained by machine learning. A set of hashtags associated with the content item can be determined based on the model.",,,,
29,US11354590B2,Rule determination for black-box machine-learning models,"Rule determination for black-box machine-learning models (BBMLMs) is described. These rules are determined by an interpretation system to describe operation of a BBMLM to associate inputs to the BBMLM with observed outputs of the BBMLM and without knowledge of the logic used in operation by the BBMLM to make these associations. To determine these rules, the interpretation system initially generates a proxy black-box model to imitate the behavior of the BBMLM based solely on data indicative of the inputs and observed outputs—since the logic actually used is not available to the system. The interpretation system generates rules describing the operation of the BBMLM by combining conditions—identified based on output of the proxy black-box model—using a genetic algorithm. These rules are output as if-then statements configured with an if-portion formed as a list of the conditions and a then-portion having an indication of the associated observed output.",,,,
30,US10102454B2, Image classification utilizing semantic relationships in a classification &hellip;," A method includes utilizing two or more classifiers to calculate, for an input image, probability scores for a plurality of classes based on visual information extracted from the input image and semantic relationships in a classification hierarchy, wherein each of the two or more classifiers is &hellip;",,,,
31,US10095780B2, Automatically mining patterns for rule based data standardization systems," Computer program products and systems are provided for mining for sub-patterns within a text data set. The embodiments facilitate finding a set of N frequently occurring sub-patterns within the data set, extracting the N sub-patterns from the data set, and clustering the extracted sub-patterns &hellip;",,,,
32,US11403520B2,Neural network machine translation method and apparatus,"A neural network machine translation method comprises: obtaining a to-be-translated source sentence; converting the source sentence into a vector sequence; determining candidate objects corresponding to the vector sequence according to a prefix tree which is pre-obtained and built based on a target sentence database, and determining a target sentence as a translation result according to the candidate objects.",,,,
33,US11138212B2,Natural language response recommendation clustering for rapid retrieval,"An interaction pace for a live natural language interaction is set. An acceptable response latency range is determined according to the interaction pace. By analyzing a live natural language query, a set of metadata tags corresponding to the query is determined. Using the set of metadata tags, a set of clusters of natural language query-response pairs is selected, a size of the set of clusters selected according to the acceptable response latency range. From the set of clusters, a query-response pairs is selected, wherein the query of the query-response pair has above a threshold relevance score with the first natural language query. From the selected query-response pair, a response recommendation is extracted, the response recommendation being a recommended response to the live natural language query, a latency between receipt of the live natural language query and extraction of the response recommendation being within the acceptable response latency range.",,,,
34,US10534825B2,Named entity-based document recommendations,"In some examples, a facility chooses documents for recommendation to people interested in a distinguished subject. The facility accesses a data resource indicating, for each of a plurality of documents, (1) a subject semantically determined for the document, (2) a number of people who have interacted with the document, and (3) an aggregate level of intensity with which those people have interacted with the document. Based on contents of the data structure, the facility identifies one or more documents (1) for which the distinguished subject has been semantically determined, and (2) with which a relatively large number of people have interacted and/or with which people have interacted with a high aggregate level of intensity. The facility transmits to another computing system data configured to cause the first computing system to present a recommendation for some or all of the identified documents.",,,,
35,US11379724B1,System and method for domain specific neural network pruning,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for domain-specific pruning of neural networks are described. An exemplary method includes obtaining a first neural network trained based on a first training dataset; obtaining one or more second training datasets respectively from one or more domains; and training, based on the first neural network and the one or more second training datasets, a second neural network comprising the first neural network and one or more branches extended from the first neural network, wherein the second neural network is applicable for inferencing in the one or more domains, and the training comprises: training the one or more branches based respectively on the one or more second training datasets and an output of the first neural network.",,,,
36,US10824960B2,System and method for recommending semantically similar items,"A system and method are described herein for improving content-based (CB) filtering to find other items similar to a particular item. For example, the system and method can operate to (1) collect ground truth from users, experts or non-experts for a subset of items in a library; (2) build similarity model(s) against the collected ground truth and evaluate this/these similarity model(s) for generalizability to all items in the library, and (3) build recommendations for users based on knowledge elicited from the users themselves, combined with the similarity scores in the built similarity model(s).",,,,
37,US10445379B2,Method of generating a training object for training a machine learning algorithm,"There is disclosed a computer implemented method of generating a training object for training a machine learning algorithm (MLA). The method comprises: acquiring a digital training document to be used in the training; transmitting the digital training document to a plurality of assessors, transmitting further including indicating a range of possible labels for the assessors to assess from, the range of possible labels including at least a first possible label and a second possible label; obtaining from each of the plurality of assessors a selected label to form a pool of selected labels; generating a consensus label distribution based on the pool of selected labels, the consensus label distribution representing a range of perceived labels for the digital training document and an associated probability score for each of the perceived labels; and training the machine learning algorithm using the digital training document and the consensus label distribution.",,,,
38,US11579589B2,Selectively activating a resource by detecting emotions through context analysis,"A method selectively activates a resource to accommodate an advanced emotion. A supervisor computer receives a first piece of content, and then applies an emotion classifier to the first piece of content in order to create a first concept/emotion/sentiment/time tuple. The supervisor computer creates a second concept/emotion/sentiment/time tuple for a second piece of content, and compares the first and second tuples. If the concept in the first piece of content matches the concept in the second piece of content but that at least one of the emotion, sentiment, and time of the first piece of content does not match the emotion, sentiment, and time of the second piece of content, the supervisor computer determines that the emotion of the second piece of content is an advanced emotion that is not expressed by the first or second pieces of content, and activates a resource that accommodates the advanced emotion.",,,,
39,US11194692B2,Log-based system maintenance and management,"Methods and systems for system maintenance include identifying patterns in heterogeneous logs. Predictive features are extracted from a set of input logs based on the identified patterns. It is determined that the predictive features indicate a future system failure using a first model. A second model is trained, based on a target sample from the predictive features and based on weights associated with a distance between the target sample and a set of samples from the predictive features, to identify one or more parameters of the second model associated with the future system failure. A system maintenance action is performed in accordance with the identified one or more parameters.",,,,
40,US10255352B1,Social media mining system for early detection of civil unrest events,"Described is a system for early detection of events via social media mining. The system receives, as input, social media blog posts comprising textual data. The system processes the social media blog posts through a cascade of filters. The cascade of filters comprises an event term detection filter, a location term detection filter following the event term detection filter, and a future date detection filter following the location term detection filter. A plurality of candidate social media blog posts describing an event of interest on a future date is output to a user for further analysis.",,,,
41,US11094335B1,Systems and methods for automatic detection of plagiarized spoken responses,"Systems and methods are provided for automatic detection of plagiarized spoken responses during standardized testing of language proficiency. A first spoken response to a speaking task that elicits spontaneous speech and a second spoken response to a source-based speaking task that is assumed to be non-plagiarized are digitally recorded. A first and second sets of speaking proficiency features are calculated for the first and the second spoken response, respectively. The first spoken response is classifying as plagiarized or non-plagiarized based on the comparison between the first and the second set of speaking proficiency features. Corresponding apparatuses, systems, and methods are also disclosed.",,,,
42,US11100145B2,Dialog-based image retrieval with contextual information,"A method includes: receiving initial input from a client at least partially specifying one or more characteristics sought by the client; selecting a set of images from an image database for output to the client; and determining after each set of images whether an end condition has occurred. The method also includes, until the end condition has occurred: responsive to each set of images output to the client, receiving additional input from the client further specifying the one or more characteristics sought by the client; and responsive to each input received from the client, selecting another set of images for presentation to the client, said set of images being determined to at least partially satisfy the one or more characteristics specified by all input received from the client, said determination being based at least in part on side information for respective images for at least the set of images.",,,,
43,US11403557B2,"System and method for scalable, interactive, collaborative topic identification and tracking","A topic tracking platform is disclosed that includes a machine-learning model that may be trained to expose topics in a corpus in response to a training table. Because topics are exposed, rather than searched for using existing taxonomies, the sensitivity of a topic tracking platform may be increased, and emerging topic trends may be more quickly flagged. Exposed topics may be automatically labelled, increasing the specificity of the topic tracking platform by overcoming the potential for topic labelling inconsistencies currently experienced in the art. Documents may be scored for each topic using information provided at a token granularity, and the contribution that each token of each document contributes to the topic may be visually represented. In some aspects, mechanisms are provided for reviewing topics of the corpus at varying granularities, including at a topic level, document level or token level granularity.",,,,
44,US11567630B2,Calibration of a machine learning confidence score,"A unique user interface for improving machine learning algorithms is described herein. The user interface comprises an icon with multiple visual indicators displaying the machine learning confidence score. When a mouse hovers over the icon, a set of icons are displayed to accept the teaching user's input. In addition, the words that drove the machine learning confidence score are highlighted with formatting so that the teaching user can understand what drove the machine learning confidence score.",,,,
45,US10019438B2, External word embedding neural network language models, A mechanism is provided in a data processing system for external word embedding neural network language models. The mechanism configures the data processing system with an external word embedding neural network language model that accepts as input a sequence of words and predicts a current word &hellip;,,,,
46,US10079014B2, Name recognition system," A speech recognition system uses, in one embodiment, an extended phonetic dictionary that is obtained by processing words in a user&#39;s set of databases, such as a user&#39;s contacts database, with a set of pronunciation guessers. The speech recognition system can use a conventional phonetic dictionary &hellip;",,,,
47,US10706310B2,Video camera device and system using recursive neural networks for future event prediction,"A camera device and camera system for video-based workplace safety is provided. The camera device includes at least one imaging sensor configured to capture one or more video sequences in a workplace environment having a plurality of machines therein. The video camera further includes a processor. The processor is configured to generate a plurality of embedding vectors based on a plurality of observations. The observations include (i) a subject, (ii) an action taken by the subject, and (iii) an object on which the subject is taking the action on. The subject and object are constant. The processor is further configured to generate predictions of one or more future events based on one or more comparisons of at least some of the plurality of embedding vectors. The processor is configured to generate a signal for initiating an action to the at least one of the plurality of machines to mitigate harm.",,,,
48,US10922609B2,Semi-supervised learning via deep label propagation,"In one embodiment, a system may access a graph data structure that includes nodes and connections between the nodes. Each node may be associated with a user; each connection between two nodes may represent a relationship between the associated users; and each node may be either labeled or unlabeled with respect to a label type. For each labeled node, a label of the label type of that labeled node may be propagated to other nodes through the connections. For each node, the system may store a label distribution information associated with the label type based on the propagated labels reaching the node. The system may train a machine-learning model using the labels and the label distribution information of a set of the labeled nodes. A predicted label for each unlabeled node may be generated using the model and the label distribution information of the unlabeled node.",,,,
49,US11316807B2,Microservice deployment in multi-tenant environments,"A method includes providing a server executing computer code embodying the chat-bot, receiving, via the server, a requirement for customization of a main computer code, the main computer code including modules, and determining, by the chat-bot, top-k modules of the main computer code potentially affected given the requirement for customization. The determination of the top-k modules includes representing each of the modules of the main computer code in an embedding vector space, representing the requirement for customization as a vector in the embedding space, and fetching the top-k modules nearest the requirement for customization in the embedding space. The method further includes determining a question, communicating the question to an entity providing the requirement for customization, receiving a response to the question, and filtering the top-k modules using the response to determine a set of the modules associated with the requirement for customization.",,,,
50,US10216715B2,Method and system for suggesting revisions to an electronic document,"Disclosed is a method for suggesting revisions to a document-under-analysis (“DUA”) from a seed database, the seed database including a plurality of original texts each respectively associated with one of a plurality of final texts. The method includes tokenizing the DUA into a plurality of statements-under-analysis (“SUAs”), selecting a first SUA of the plurality of SUAs, generating a first similarity score for each of the plurality of the original texts, the similarity score representing a degree of similarity between the first SUA and each of the original texts, selecting a first candidate original text of the plurality of the original texts, and creating an edited SUA (“ESUA”) by modifying a copy of the first SUA consistent with a first candidate final text associated with the first candidate original text.",,,,
51,US11263400B2,Identifying entity attribute relations,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, that facilitate identifying entity-attribute relationships in text corpora. Methods include determining whether an attribute in a candidate entity-attribute pair is an actual attribute of the entity in the entity-attribute candidate pair. This includes generating embeddings for words in the set of sentences that include the entity and the attribute and generating, using known entity-attribute pairs. This also includes generating an attribute distributional embedding for the entity based on other attributes associated with the entity from the known entity-attribute pairs, and generating an attribute distributional embedding for the attribute based on known attributes associated with known entities of the attribute in the known entity-attribute pairs. Based on these embeddings, a feedforward network determines whether the attribute in the entity-attribute candidate pair is an actual attribute of the entity in the entity-attribute candidate pair.",,,,
52,US10140320B2," Systems, methods, and media for generating analytical data"," Systems, methods, and media for generating analytical data from actions performed on one or more publishing servers. Methods may include capturing one or more audit trails by determining actions performed on the one or more publishing servers via one or more client devices, the one or more &hellip;",,,,
53,US11017764B1,Predicting follow-on requests to a natural language request received by a natural language processing system,"In various embodiments, a natural language (NL) application receives a partial NL request associated with a first context, and determining that the partial NL request corresponds to at least a portion of a first next NL request prediction included in one or more next NL request predictions generated based on a first natural language (NL) request, the first context associated with the first NL request, and a first sequence prediction model, where the first sequence prediction model is generated via a machine learning algorithm applied to a first data dependency model and a first request prediction model. In response to determining that the partial NL request corresponds to at least the portion of the first next NL request prediction, the NL application generates a complete NL request based on the first NL request and the partial NL request, and causes the complete NL request to be applied to a data storage system.",,,,
54,US10102254B2, Confidence ranking of answers based on temporal semantics," A mechanism is provided, in a data processing system comprising a processor and a memory configured to implement a question and answer system (QA), for providing confidence rankings based on temporal semantics. Responsive to receiving an input question, a set of candidate answers is identified &hellip;",,,,
55,US10741185B2,Intelligent automated assistant,"The intelligent automated assistant system engages with the user in an integrated, conversational manner using natural language dialog, and invokes external services when appropriate to obtain information or perform various actions. The system can be implemented using any of a number of different platforms, such as the web, email, smartphone, and the like, or any combination thereof. In one embodiment, the system is based on sets of interrelated domains and tasks, and employs additional functionally powered by external services with which the system can interact.",,,,
56,US11633103B1,Automatic in-home senior care system augmented with internet of things technologies,"The in-home care of seniors is augmented using Internet of Things (IOT) technologies. In-home sensors monitor a senior and their caregiver. Physical conditions and psychological conditions may be monitored. In some implementations, a machine learning system has a classifier trained to detect a specified condition, such as depression. The system may perform various transformations of raw sensor data into a format indicative of a particular condition. In one implementation, a psychological or medical condition has symptoms in which each symptom has one or more measurable events. Mappings between symptoms, events, sensor data, and sensor transformation functions may be supported.",,,,
57,US10628714B2,Entity-tracking computing system,An entity-tracking computing system receives sensor information from a plurality of different sensors. The positions of entities detected by the various sensors are resolved to an environment-relative coordinate system so that entities identified by one sensor can be tracked across the fields of detection of other sensors.,,,,
58,US11545134B1,Multilingual speech translation with adaptive speech synthesis and adaptive physiognomy,"Techniques for the generation of dubbed audio for an audio/video are described. An exemplary approach is to receive a request to generate dubbed speech for an audio/visual file; and in response to the request to: extract speech segments from an audio track of the audio/visual file associated with identified speakers; translate the extracted speech segments into a target language; determine a machine learning model per identified speaker, the trained machine learning models to be used to generate a spoken version of the translated, extracted speech segments based on the identified speaker; generate, per translated, extracted speech segment, a spoken version of the translated, extracted speech segments using a trained machine learning model that corresponds to the identified speaker of the translated, extracted speech segment and prosody information for the extracted speech segments; and replace the extracted speech segments from the audio track of the audio/visual file with the spoken versions spoken version of the translated, extracted speech segments to generate a modified audio track.",,,,
59,US11348664B1,Machine learning driven chemical compound replacement technology,"Techniques to suggest alternative chemical compounds that can be used to recreate or mimic a target flavor using artificial intelligence are disclosed. A neural network based model is trained on source chemical compounds and their corresponding flavors and odors. The neural network-based model learns compound embeddings of the source chemical compounds and a target chemical compound of a food item. From the compound embeddings, one or more chemical compounds that are closest to the target chemical compound may be determined by a distance metric. Each suggested chemical compound is an alternative that can be used to recreate functional features of the target chemical compound.",,,,
60,US10509825B2,Systems and methods for topic guidance in video content using sequence mining,"Example implementations are directed to systems and methods for developing a topic model for a set of video series that include overlapping topics, wherein each video series includes segments directed to one or more of topics, wherein the topic model is based on topic distributions detected from the segments; analyzing auxiliary information, for each video series, to determine sequence information for the segments of the video series; and generating an array for topic transitions using sequence pattern mining on the distributions and the sequence information, wherein a next segment is determined for a selected segment based on an alignment decision using the array and sequence based scoring.",,,,
61,US10748546B2,Digital assistant services based on device capabilities,"Systems and processes for operating an intelligent automated assistant to provide extension of digital assistant services are provided. An example method includes, at an electronic device having one or more processors, receiving, from a first user, a first speech input representing a user request. The method further includes obtaining an identity of the first user; and in accordance with the user identity, providing a representation of the user request to at least one of a second electronic device or a third electronic device. The method further includes receiving, based on a determination of whether the second electronic device or the third electronic device, or both, is to provide the response to the first electronic device, the response to the user request from the second electronic device or the third electronic device. The method further includes providing a representation of the response to the first user.",,,,
